Década,SUSANA,ANA,PATRICIA,MARIA
1970,0.3456359913763881,0.2028243684831392,0.17012650675923038,0.2814131333812423
1980,0.09608870775375011,0.21637849368563816,0.2711052348206558,0.416427563739956
1990,0.03483248334946617,0.24899952323851077,0.18127049713220741,0.5348974962798156
2000,0.023595470174442447,0.236751206586543,0.10013879688337907,0.6395145263556354
2010,0.018374516750209468,0.2576254244513369,0.04911140836995987,0.6748886504284938
2020,0.010417563495479983,0.28058544984933276,0.020232458028411535,0.6887645286267757
